Entity_Name,ObjectID,NumOID,ImportID,ModelID,Num_ModelID,Structured_Type_ID,Num_Structured_Type_ID,Structured_Type_Name,Number_Data_Elements,Classification_Type,Allow_Type_Substitution,Min_Volume,Expected_Volume,Max_Volume,Growth_Rate_Percents,Growth_Rate_Interval,Normal_Form,Temporary_Object_Scope,Adequately_Normalized,Substitution_Parent,Num_Substitution_Parent,Synonyms,Synonym_To_Display,Preferred_Abbreviation,SuperTypeEntity_ID,Num_SuperTypeEntity_ID,Engineering_Strategy,Owner,Entity_Source
"AdminBancAndes",255207C1-DE0F-EEB6-B7A8-F76AA794232F,71,,7F4A34DB-1382-E588-9C93-A936A96667E5,70,,,,0,,Y,0,0,9999999,0,Year,Third,,N,,,,,,,,,,,
"CAJERO",C093EAB7-7674-BBE0-434F-728BDFE3BEE3,72,,7F4A34DB-1382-E588-9C93-A936A96667E5,70,,,,1,,Y,0,0,9999999,0,Year,Third,,N,,,,,,573B950C-A117-2EB0-DFCB-DFFC5991E2B0,87,Single Table,,,
"CAJERO AUTOMÁTICO",21762537-3758-0CF4-F2D2-F800C052C56D,73,,7F4A34DB-1382-E588-9C93-A936A96667E5,70,,,,0,,Y,0,0,9999999,0,Year,Third,,N,,,,,,36375F7F-A052-FE6E-3B16-A538ABC1AC13,86,Single Table,,,
"CDT",0EBE4096-1645-3DDD-4DED-092E9704207C,74,,7F4A34DB-1382-E588-9C93-A936A96667E5,70,,,,1,,Y,0,0,9999999,0,Year,Third,,N,,,,,,BD4C940C-865C-8209-DC81-7E17020DD299,85,Single Table,,,
"CLIENTE",15D0C915-1F28-500A-714D-832CEA56EFE1,75,,7F4A34DB-1382-E588-9C93-A936A96667E5,70,,,,4,,Y,0,0,9999999,0,Year,Third,,N,,,,,,573B950C-A117-2EB0-DFCB-DFFC5991E2B0,87,Single Table,,,
"CUENTA",D643A724-59C6-9494-C087-74F15555771A,76,,7F4A34DB-1382-E588-9C93-A936A96667E5,70,,,,4,,Y,0,0,9999999,0,Year,Third,,N,,,,,,BD4C940C-865C-8209-DC81-7E17020DD299,85,Single Table,,,
"DIRECCIÓN FISICA",0E925CDD-36F8-26D9-31F9-E3A227E8F194,77,,7F4A34DB-1382-E588-9C93-A936A96667E5,70,,,,4,,Y,0,0,9999999,0,Year,Third,,N,,,,,,,,,,,
"GERENTE DE OFICINA",5BB7C299-E4EF-6DED-B6EB-6E1F133BC62E,78,,7F4A34DB-1382-E588-9C93-A936A96667E5,70,,,,0,,Y,0,0,9999999,0,Year,Third,,N,,,,,,573B950C-A117-2EB0-DFCB-DFFC5991E2B0,87,Single Table,,,
"GERENTE GENERAL",7F1B3656-BFCB-F73A-4CCA-CDB08489331F,79,,7F4A34DB-1382-E588-9C93-A936A96667E5,70,,,,0,,Y,0,0,9999999,0,Year,Third,,N,,,,,,573B950C-A117-2EB0-DFCB-DFFC5991E2B0,87,Single Table,,,
"OFICINA",A95D90EB-1EC1-4B44-15E1-7DAA1CADAC24,80,,7F4A34DB-1382-E588-9C93-A936A96667E5,70,,,,8,,Y,0,0,9999999,0,Year,Third,,N,,,,,,,,,,,
"OPERACIÓN BANCARIA",03D26B84-3CA9-83D5-C2B1-227E9CD469DA,81,,7F4A34DB-1382-E588-9C93-A936A96667E5,70,,,,12,,Y,0,0,9999999,0,Year,Third,,N,,,,,,,,,,,
"PERSONALIZADA",01174056-6AFF-A2F0-71DB-F9F4AC66C026,82,,7F4A34DB-1382-E588-9C93-A936A96667E5,70,,,,0,,Y,0,0,9999999,0,Year,Third,,N,,,,,,36375F7F-A052-FE6E-3B16-A538ABC1AC13,86,Single Table,,,
"PORTAL WEB",3B90C286-EE7E-771B-3279-F7A1AECDED58,83,,7F4A34DB-1382-E588-9C93-A936A96667E5,70,,,,3,,Y,0,0,9999999,0,Year,Third,,N,,,,,,36375F7F-A052-FE6E-3B16-A538ABC1AC13,86,Single Table,,,
"PRESTAMO",E5D4D3B7-8D59-7218-A3F7-8CAFB6EC4E3E,84,,7F4A34DB-1382-E588-9C93-A936A96667E5,70,,,,10,,Y,0,0,9999999,0,Year,Third,,N,,,,,,BD4C940C-865C-8209-DC81-7E17020DD299,85,Single Table,,,
"PRODUCTO",BD4C940C-865C-8209-DC81-7E17020DD299,85,,7F4A34DB-1382-E588-9C93-A936A96667E5,70,,,,2,,Y,0,0,9999999,0,Year,Third,,N,,,,,,,,Single Table,,,
"PUNTO ATENCIÓN",36375F7F-A052-FE6E-3B16-A538ABC1AC13,86,,7F4A34DB-1382-E588-9C93-A936A96667E5,70,,,,3,,Y,0,0,9999999,0,Year,Third,,N,,,,,,,,Single Table,,,
"USUARIO",573B950C-A117-2EB0-DFCB-DFFC5991E2B0,87,,7F4A34DB-1382-E588-9C93-A936A96667E5,70,,,,12,,Y,0,0,9999999,0,Year,Third,,N,,,,,,,,Single Table,,,
